title,score,review,sentiment
Eddie Murphy Christmas Movie,5.0,"Candy Cane Lane is on the less offensive side of Christmas movie releases but suffers from being far too long at an energy draining two hours. Just when it starts wrapping up another 30 minutes come from nowhere.Eddie Murphy carries the movie and helps to push it over the line. It is a step up from his previous Amazon Original, Coming 2 America. Jillian Bell is annoying as always but fits in better in this zany christmas movie.It may not be everyone's cup of tea but Candy Cane Lane passes the time and is at least better than the 50 Hallmark exclusive movies which are soon coming down the pike.",positive
"Dash of Cheer, a Pinch of Symbolism, and a Sprinkle of Cringe",5.0,"Candy Cane Lane delivers a festive punch with its spirited competition for the title of the best-decorated house, adding a touch of homey charm to the holiday tale. The unexpected twist involving a mischievous elf banishment brings a hint of symbolism, though I might be delving too deep into it. Nevertheless, the Christmas magic is palpable, complete with 'Parents Just Don't Understand' vibes, vibrant colors, and whimsical decor.While the humor occasionally falls short in delivery, with jokes teetering on the edge of laughter, the movie brings forth chuckles and witty lines like ""You elf'in kidding me."" Admittedly, it felt like a subtle ad campaign for Jeep, El Segundo's Candy Cane Lane, and USC-Fight on, I suppose. Despite the cheesy and slightly cringy Christmas love, it's a worthwhile watch during the holiday season. I'd give it a festive 2.5/5 stars - because, after all, 'tis the season for a bit of Christmas movie magic!",positive
What a mess...,3.0,"Wow... So Eddie Murphy delivers his second Amazon Movie and his first Christmas themed movie and as a huge Fan of his I can say I'm absolutely disappointed.The movie starts of promising and seems to build up to original ideas, but only goes downhill as soon as the story starts to evolve. Sadly it's a absolute mess and they tried to cram so much into the movie that it's hard to keep track sometimes. The movie lacks depth and characters fight just to reconcile 1 minute later. The movie jumps from scene to scene and every moment of depth conflict or drama is resolved within a max of 3 minutes. There's not one scene that really made me laugh and the movie is so exhausting at times that i really struggled not to turn it off. I don't know what Eddie was thinking but this feels soulless and you can see it on the actors faces and their energy. Everyone seems bored, the dialogue's are hideous and nothing clicks... this is really disappointing and falls in the category of the Eddie Murphy movies that will be forgotten sooner than later.",negative
Delightful!,8.0,"Why the low ratings? This is such a fun family holiday movie. Don't sleep on the adorable end credit scene. This was such an original movie-not like the cookie cutter predictable ones we are all used to. Eddie Murphy is a delight and tracee Ellis Ross is wonderful. I thought it was entertaining and enjoyable. If you want a comedic, colorful Christmas movie, you'll enjoy this. I also enjoyed the representation and inclusion aspect of the movie as well. All around, really lovely family movie. Definitely worth the watch. Much better than family switch on Netflix-woof! Happy holidays, everyone! And a happy new year.",positive
Bit of a guilty pleasure yet so worth it!,8.0,"I'm surprised to see the 5.3 rating especially on the day 1 release, this movie is magnificent! I love most anything with Eddie Murphy some isn't as good but most projects are great. Candy Cane Lane is a unique wonderful holiday film a nice way to prepare for the spirit of everything even if its cheesy I love it quite a bit although I should say I have autism I enjoy different things than most. Very much reminds me of a Matthew Broderick and Danny Devito film called Deck the Halls that's a fun one that's very similar one without as much special effects. I admire Eddie he's done a lot of offbeat ones and iconic projects, I'm sure he's great to be around.",positive
A Fun PG Eddie Murphy Film!,7.0,"We might like to see Eddie Murphy do adult comedy, but this was surprisingly funny and very entertaining. The humor is a mix of adult and young adult and it's actually pretty nice to see Eddie Murphy do something than R rated comedy. Tracee Ellis Ross also compliments his character very well, she hits with the humor right on time and is used very well and not just a (background) wife. The figurines are hilarious as well! Whenever they hit the screen, I at least smiled and chuckled, the CGI was perfect too! Loved every bit of the premise as well. Could Jillian Bell do better as a villian? Yes. Could they have gotten a better actress for that? Maybe. She doesn't take away from the movie but ties it up in the end for what it was. Enjoy this holiday special, i did and you will!",positive
Fun Family Christmas Film from Eddie Murphy,8.0,"""Candy Cane Lane"" is a Christmas-themed comedy starring Eddie Murphy and Tracee Ellis Ross. The movie is directed by Reginald Hudlin (""Boomerang"", ""House Party"", ""The Black Godfather""). Murphy and Ross play a married couple, the Carvers, whose house in the Los Angeles suburbs is a perennial candidate for their block's Christmas decorations contest. Chris (Murphy) in particular is a Christmas obsessionist, so much so that his children (and, coincidentally, his wife) all have Christmas-themed names and the family's garage is overflowing with Christmas memorabilia throughout the year. As the story begins, Chris is a sales manager freshly laid off just in time for the holiday (an exchange with a supervisor references Chris' alleged oldness by the fact that he uses a rolodex). Wife Carol is looking at a promotion at a distribution services factory. In the midst of the very mixed career news for mom and dad, Chris buys a gaudy, flamboyant lawn-decoration Christmas tree a from a pop-up store run by a chatty manager (an alternately perky and menacing Jillian Bell). Unbeknownst to Chris, Pepper the manager is actually a rogue elf (fired by Santa for being a martinet about the naughty list) who likes to sell enchanted Christmas decorations to unsuspecting desperate people, which enacts a curse: if the hapless victim cannot collect enough golden rings by a deadline, they will turn into a living glass miniature, forever! Like, bummer!Needless to say, plenty of Christmas shenanigans ensue, all based around The Twelve Days of Christmas song. So, can Chris, Carol, Joy, Nick and Holly round up all the rings, dodge the Christmas dangers, and live to save the holiday (and maybe win the neighborhood decorations contest)?You'll have to watch to find out! Some other supporting players include some sketch comedy alumni (Chris Redd, Robin Thede, David Alan Grier, Nick Offerman) who get to offer an assortment of quips and jabs during the proceedings.""Candy Cane Lane"" is a perfectly acceptable family-friendly Christmastime film. Murphy and Ross do well as the leads, with a nice rapport between them. Murphy seems to generally rein in his improv instincts and generally sticks to the script by Kelly Younger. In fact, any number of instances where a character is about to curse there's an interjection involving a holiday song, which seems to be a deliberate in-joke about the characters Murphy was known for playing early in his career. Ross, by now a longtime television comedic actress, does well in what could have been a thankless and colorless role. There's plenty of good soundtrack music choices, and the special effects are excellent. Several sequences will find younger kids really entertained.Check it out, and have fun!",positive
Wanted to give it a higher rating...,3.0,"I have been a long time fan of Eddie Murphy and although I haven't always found him as funny as I hoped, his roles have always been charming enough to satiate my expectations.I started this movie with bridled expectations. The camera work and lighting in this movie is really nice, the effects were also quite well done, and I enjoyed some of the music, though I did notice that some of the music sounded like generic loops from Garage Band were used.Where this movie fell apart was the story and delivery. The story felt forced, where it needed more fleshing out and new characters seemed to drop from the sky and clash with the story instead of interweaving.The characters were also annoying, with some just being outright vulgar and some screaming their lines as if screaming somehow validated their dialogue.Eddie Murphy and his family seemed disconnected from each other, as if there had been a miscast of the actors. Their dialogue was shallow and the most disappointing thing was that it wasn't delivered with convincing tone and body language.The movie had all the trappings of all of the common commercialized Christmas movies that are being released now days, case in point there were two prominent cans of brand-name paint on display in one of the first scenes of the movie.This will not be a movie that I add to my yearly watch list by no means.",positive
"Horribly Acted, Horribly Written",1.0,"This was a complete waste of time. I can't believe Eddie Murphy took this gig. Didn't he read the script first? Bad jokes and over-acting by a third rate supporting cast, and Murphy honestly seemed to not care. Either that, or there was only so much he could do with his pathetic lines. He seemed to be phoning it in. I really like him, and hope he gets something better to work with.Special effects were awkward. Lines ended nowhere with a thud. Also, a very objectionable anti-Christian joke.I was wondering whether this movie was written by a relative or something. There had to be some reason to put this poor excuse for entertainment on Prime.",positive
Not a classic,3.0,Small kids might like this between 3 and 7. Other than that very cheesy. Murphy must have needed the money. Overall story line is just corny and stupid. The miniature talking figurines are just silly and not very well done. The cast is a decent combination. All relatively good actors it's just too bad their talents weren't displayed in a decent imagined plot. The elf is depicted by almost a devil themed character and a sacrilegious remark was openly said. Story jumps all over the place between the plot and a normal family. One of those movies made for Prime that failed miserably. Just not a Christmas movie that gives a fuzzy feeling. Just one that makes you realize I just wasted 2 hours.,negative
This is NOT Christams movie you are looking for,2.0,"The trailer was somehwat cute, and fun. I have liked Eddie Murphy in many projects over the years, including Coming 2 America. (after watiching it again, I saw some more fun elements). This project is a disappointment. I really tried to make it through, but had to fast forward to the dismal, predictable ending. Hey, I know that holiday movies have happy conclusions, so that was not the main challenge. The main challeges included- poor script, miscast actors, terrible cgi and Eddie Murphy himself. I like Traci Ellen Ross, however, she is wasted here. Maybe she should have been the lead istead. No, it is simply a poor project idea, with poor execution, start to finish. Skip it.",negative
Scroll on by - waste of time,2.0,"Eddie Murphy wanted to make a film that would be a timeless classic which he felt that family's would watch every Christmas. Well, he did that with Beverly Hills Cop. Not this horrid waste of time.Lots of racist jokes. ..... In a Christmas movie
Some Religious insults to both Christians and Jews.Yep - I'm not kidding. And not off-the-cuff references, but actual flat out ridicule. How does a Christmas movie make fun of Jesus??Two stars because I liked the idea, but then after 5 minutes it tanked.... Fast. Otherwise I would have gone with one star.My advice is pretty straight forward - Avoid this crap.",positive
